objectId,date,distance,velocity,diameter,impactProbability,hazardScale,impactDamage,name
(2014 JU15)1996-06-09T12:26:00.000Z,1996-06-09T12:26:00.000Z,47.86,11.6,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)1991-06-01T18:10:00.000Z,1991-06-01T18:10:00.000Z,36.48,9.6,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)1981-05-03T23:48:00.000Z,1981-05-03T23:48:00.000Z,15.62,9.5,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)1976-04-26T12:09:00.000Z,1976-04-26T12:09:00.000Z,8.7,10.9,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)1971-04-25T20:49:00.000Z,1971-04-25T20:49:00.000Z,52.39,14.4,47,0.000056,-5.2,1,(2014 JU15)
(2014 ML67)2014-07-04T23:31:00.000Z,2014-07-04T23:31:00.000Z,18.33,20.9,65,4.30E-07,-5.3,1,(2014 ML67)
(2014 MO68)2014-07-17T08:43:00.000Z,2014-07-17T08:43:00.000Z,30.99,14.1,94,7.50E-07,-6.5,1,(2014 MO68)
(2014 QF33)2106-08-22T11:54:00.000Z,2106-08-22T11:54:00.000Z,39.52,26.3,79,1.40E-07,-6.1,1,(2014 QF33)
(2014 QF33)2101-08-13T10:57:00.000Z,2101-08-13T10:57:00.000Z,53.34,19.4,79,1.40E-07,-6.1,1,(2014 QF33)
(2014 QF33)2055-12-09T23:02:00.000Z,2055-12-09T23:02:00.000Z,51.17,19.8,79,1.40E-07,-6.1,1,(2014 QF33)
(2014 QF33)2050-11-30T23:13:00.000Z,2050-11-30T23:13:00.000Z,51.62,26.8,79,1.40E-07,-6.1,1,(2014 QF33)
(2014 QF33)2043-08-16T09:59:00.000Z,2043-08-16T09:59:00.000Z,8.26,22.7,79,1.40E-07,-6.1,1,(2014 QF33)
(2014 QF33)2026-12-10T16:03:00.000Z,2026-12-10T16:03:00.000Z,64.9,18.7,79,1.40E-07,-6.1,1,(2014 QF33)
(2014 QF33)2021-11-30T09:11:00.000Z,2021-11-30T09:11:00.000Z,53.48,27,79,1.40E-07,-6.1,1,(2014 QF33)
(2014 QF33)2019-08-24T08:52:00.000Z,2019-08-24T08:52:00.000Z,69.67,28.7,79,1.40E-07,-6.1,1,(2014 QF33)
(2014 QF33)2014-08-13T09:00:00.000Z,2014-08-13T09:00:00.000Z,36.52,20.6,79,1.40E-07,-6.1,1,(2014 QF33)
(2014 QF33)1997-12-06T15:14:00.000Z,1997-12-06T15:14:00.000Z,29.09,21.9,79,1.40E-07,-6.1,1,(2014 QF33)
(2014 QF33)1990-08-19T22:20:00.000Z,1990-08-19T22:20:00.000Z,32.95,25.8,79,1.40E-07,-6.1,1,(2014 QF33)
